"","Ensemble","Model1","Model2","Fit","RMSE"
"1","uniform_weights","LM","BLUP","EXD3",0.891823414808471
"2","uniform_weights","LM","SVR","EXD3",0.94322660978075
"3","uniform_weights","LM","DNN-CO","EXD3",0.916319523515957
"4","uniform_weights","LM","DNN-SO","EXD3",0.948104891028348
"5","uniform_weights","LM","LM","Linear",0.980235699248098
"6","uniform_weights","LM","KNN","Linear",0.980235699248098
"7","uniform_weights","LM","RNR","Linear",0.980235699248098
"8","uniform_weights","LM","RF","Linear",0.980235699248098
"9","uniform_weights","BLUP","LM","EXD3",0.894104084686518
"10","uniform_weights","BLUP","BLUP","EXD3",0.894707612660238
"11","uniform_weights","BLUP","KNN","EXD3",0.932888154267252
"12","uniform_weights","BLUP","RNR","EXD3",0.945014811316838
"13","uniform_weights","BLUP","RF","EXD3",0.920830209226224
"14","uniform_weights","BLUP","SVR","EXD3",0.887011371412582
"15","uniform_weights","BLUP","DNN-CO","EXD3",0.89190267002261
"16","uniform_weights","BLUP","DNN-SO","EXD3",0.914985150952122
"17","uniform_weights","KNN","BLUP","EXD3",0.933089663606201
"18","uniform_weights","KNN","SVR","EXD3",0.989061896498371
"19","uniform_weights","KNN","DNN-CO","EXD3",0.966103386023888
"20","uniform_weights","KNN","DNN-SO","EXD3",1.00470808506264
"21","uniform_weights","KNN","LM","Linear",1.03423946599919
"22","uniform_weights","KNN","KNN","Linear",1.03423946599919
"23","uniform_weights","KNN","RNR","Linear",1.03423946599919
"24","uniform_weights","KNN","RF","Linear",1.03423946599919
"25","uniform_weights","RNR","BLUP","EXD3",0.945097945980777
"26","uniform_weights","RNR","SVR","EXD3",0.997954041528925
"27","uniform_weights","RNR","DNN-CO","EXD3",0.974752207416953
"28","uniform_weights","RNR","DNN-SO","EXD3",1.01556917117649
"29","uniform_weights","RNR","LM","Linear",1.04535712471651
"30","uniform_weights","RNR","KNN","Linear",1.04535712471651
"31","uniform_weights","RNR","RNR","Linear",1.04535712471651
"32","uniform_weights","RNR","RF","Linear",1.04535712471651
"33","uniform_weights","RF","BLUP","EXD3",0.921275767669424
