"","Figure","Panel","Weights","Ensemble","Comparison","Fit","c","d","e","Pr90"
"1","S1","A","uniform_weights","Any","","EXD3",0.932241177212385,1.06123461013195,2.15324916080898,5
"2","S1","B","uniform_weights","All","","EXD3",0.86190619533794,0.931562003771755,237.3779369701,547
"3","S1","C","uniform_weights","LM","BLUP","EXD3",0.891821463223562,0.89516237090094,1.34311912159974,4
"4","S1","C","uniform_weights","LM","SVR","EXD3",0.943201150049669,0.986785526318484,1.34311912159974,4
"5","S1","C","uniform_weights","LM","DNN-CO","EXD3",0.916316221832114,0.92196835658859,1.34311912159974,4
"6","S1","C","uniform_weights","LM","DNN-SO","EXD3",0.948092161821916,0.96988322163173,1.34311912159974,4
"7","S1","C","uniform_weights","LM","LM","Linear",0.980282430809238,NA,NA,NA
"8","S1","C","uniform_weights","LM","KNN","Linear",0.980282430809238,NA,NA,NA
"9","S1","C","uniform_weights","LM","RNR","Linear",0.980282430809238,NA,NA,NA
"10","S1","C","uniform_weights","LM","RF","Linear",0.980282430809238,NA,NA,NA
"11","S1","D","uniform_weights","BLUP","LM","EXD3",0.894108628455039,0.893050149731917,1.83458256909964,5
"12","S1","D","uniform_weights","BLUP","BLUP","EXD3",0.894299866157882,0.989285117969999,1.83458256909964,5
"13","S1","D","uniform_weights","BLUP","KNN","EXD3",0.93285574376584,0.940405826035542,1.83458256909964,5
"14","S1","D","uniform_weights","BLUP","RNR","EXD3",0.944957757969666,0.958248433711965,1.83458256909964,5
"15","S1","D","uniform_weights","BLUP","RF","EXD3",0.920784164632619,0.931510332221775,1.83458256909964,5
"16","S1","D","uniform_weights","BLUP","SVR","EXD3",0.886806541914621,0.934521927159879,1.83458256909964,5
"17","S1","D","uniform_weights","BLUP","DNN-CO","EXD3",0.89180926211073,0.913568796478116,1.83458256909964,5
"18","S1","D","uniform_weights","BLUP","DNN-SO","EXD3",0.91483106705868,0.950725176104889,1.83458256909964,5
"19","S1","E","uniform_weights","KNN","BLUP","EXD3",0.933086392600999,0.943193337636598,1.24441866486945,3
"20","S1","E","uniform_weights","KNN","SVR","EXD3",0.989047422819331,1.03376905102943,1.24441866486945,3
"21","S1","E","uniform_weights","KNN","DNN-CO","EXD3",0.966101153014417,0.973000837543322,1.24441866486945,3
"22","S1","E","uniform_weights","KNN","DNN-SO","EXD3",1.00470323253413,1.01969686166239,1.24441866486945,3
"23","S1","E","uniform_weights","KNN","LM","Linear",1.03427706146532,NA,NA,NA
