Model1,Model2,RMSE
lm_0,lm_0,0.972881876258408
lm_0,lm_1,0.972881876258408
lm_0,lm_2,0.972881876258408
lm_0,lm_3,0.972881876258408
lm_0,lm_4,0.972881876258408
lm_0,lm_5,0.972881876258408
lm_0,lm_6,0.972881876258408
lm_0,lm_7,0.972881876258408
lm_0,lm_8,0.972881876258408
lm_0,lm_9,0.972881876258408
lm_0,bglr_0,0.93276110936147
lm_0,bglr_1,0.9614902137158396
lm_0,bglr_2,0.8536610634223402
lm_0,bglr_3,0.8535358586336393
lm_0,bglr_4,0.8942522967520532
lm_0,bglr_5,0.9132670710194892
lm_0,bglr_6,0.910573875485913
lm_0,bglr_7,0.9238409389339264
lm_0,bglr_8,0.8608128377667137
lm_0,bglr_9,0.8907033395342102
lm_0,knn_0,0.9879022210273076
lm_0,knn_1,0.9879022210273076
lm_0,knn_2,0.9879022210273076
lm_0,knn_3,0.9879022210273076
lm_0,knn_4,0.9879022210273076
lm_0,knn_5,0.9879022210273076
lm_0,knn_6,0.9879022210273076
lm_0,knn_7,0.9879022210273076
lm_0,knn_8,0.9879022210273076
lm_0,knn_9,0.9879022210273076
lm_0,rf_0,0.9599366755876244
lm_0,rf_1,0.9599366755876244
lm_0,rf_2,0.956545180373092
lm_0,rf_3,0.9599366755876244
lm_0,rf_4,0.9599366755876244
lm_0,rf_5,0.9599366755876244
lm_0,rf_6,0.9599366755876244
lm_0,rf_7,0.9599366755876244
lm_0,rf_8,0.9565451803730922
lm_0,rf_9,0.9599366755876244
lm_0,rnr_0,0.9977171371343132
lm_0,rnr_1,0.9977171371343132
lm_0,rnr_2,0.9977171371343132
lm_0,rnr_3,0.9977171371343132
lm_0,rnr_4,0.9977171371343132
lm_0,rnr_5,0.9977171371343132
lm_0,rnr_6,0.9977171371343132
lm_0,rnr_7,0.9977171371343132
lm_0,rnr_8,0.9977171371343132
lm_0,rnr_9,0.9977171371343132
lm_0,svrl_0,0.9786697060697056
lm_0,svrl_1,0.9501418398440816
lm_0,svrl_2,0.975024781042016
lm_0,svrl_3,0.9585637256344004
lm_0,svrl_4,0.9572856888452398
lm_0,svrl_5,1.008119965968285
lm_0,svrl_6,0.9770478298214632
lm_0,svrl_7,0.9552354364980128
lm_0,svrl_8,0.9511155876875798
lm_0,svrl_9,0.9348886922300136
lm_0,full_0,0.977509943860926
lm_0,full_1,0.965830858155312
lm_0,full_2,0.9772357319556088
lm_0,full_3,0.9760104744284808
lm_0,full_4,0.9747448082558032
lm_0,full_5,0.951601272396614
lm_0,full_6,0.9495738485806589
lm_0,full_7,0.9477850804298452
lm_0,full_8,0.9266232764435804
lm_0,full_9,0.9327411965846528
lm_0,cat_0,0.9175355461109586
lm_0,cat_1,0.9234922042827396
lm_0,cat_2,0.9108790448872646
lm_0,cat_3,0.9140753152929438
lm_0,cat_4,0.9213870995116534
lm_0,cat_5,0.9186006469670636
lm_0,cat_6,0.9119981129657594
lm_0,cat_7,0.9233048609777184
lm_0,cat_8,0.9239249785702084
lm_0,cat_9,0.9292727206227424
lm_1,lm_0,0.972881876258408
lm_1,lm_1,0.972881876258408
lm_1,lm_2,0.972881876258408
lm_1,lm_3,0.972881876258408
lm_1,lm_4,0.972881876258408
lm_1,lm_5,0.972881876258408
lm_1,lm_6,0.972881876258408
lm_1,lm_7,0.972881876258408
lm_1,lm_8,0.972881876258408
lm_1,lm_9,0.972881876258408
lm_1,bglr_0,0.93276110936147
lm_1,bglr_1,0.9614902137158396
lm_1,bglr_2,0.8536610634223402
lm_1,bglr_3,0.8535358586336393
lm_1,bglr_4,0.8942522967520532
lm_1,bglr_5,0.9132670710194892
lm_1,bglr_6,0.910573875485913
lm_1,bglr_7,0.9238409389339264
lm_1,bglr_8,0.8608128377667137
lm_1,bglr_9,0.8907033395342102
lm_1,knn_0,0.9879022210273076
lm_1,knn_1,0.9879022210273076
lm_1,knn_2,0.9879022210273076
lm_1,knn_3,0.9879022210273076
lm_1,knn_4,0.9879022210273076
lm_1,knn_5,0.9879022210273076
lm_1,knn_6,0.9879022210273076
lm_1,knn_7,0.9879022210273076
lm_1,knn_8,0.9879022210273076
lm_1,knn_9,0.9879022210273076
lm_1,rf_0,0.9599366755876244
lm_1,rf_1,0.9599366755876244
lm_1,rf_2,0.956545180373092
lm_1,rf_3,0.9599366755876244
lm_1,rf_4,0.9599366755876244
lm_1,rf_5,0.9599366755876244
lm_1,rf_6,0.9599366755876244
lm_1,rf_7,0.9599366755876244
lm_1,rf_8,0.9565451803730922
lm_1,rf_9,0.9599366755876244
lm_1,rnr_0,0.9977171371343132
lm_1,rnr_1,0.9977171371343132
lm_1,rnr_2,0.9977171371343132
lm_1,rnr_3,0.9977171371343132
lm_1,rnr_4,0.9977171371343132
lm_1,rnr_5,0.9977171371343132
lm_1,rnr_6,0.9977171371343132
lm_1,rnr_7,0.9977171371343132
lm_1,rnr_8,0.9977171371343132
lm_1,rnr_9,0.9977171371343132
lm_1,svrl_0,0.9786697060697056
lm_1,svrl_1,0.9501418398440816
